experiment, n_procs, manual, mpi, mpi2
1000000, 1, 0.1116661200, 0.1011976560, 0.1012550550
1000000, 2, 0.0681796540, 0.0679575560, 0.0686338090
1000000, 4, 0.0337417160, 0.0337264150, 0.0347153360
1000000, 8, 0.0149711850, 0.0142253010, 0.0136775460
1000000, 16, 0.0083143850, 0.0090201290, 0.0086634410
1000000, 32, 0.0055786900, 0.0043005210, 0.0041751020
1000000, 64, 0.0046837880, 0.0059966860, 0.0032158410
1000000, 96, 0.0045431290, 0.0047981760, 0.0034309890
1000000, 128, 0.0054595410, 0.0023028390, 0.0031750210
1000000, 192, 0.0093872150, 0.0029880530, 0.0016935150
1000000, 256, 0.0072950140, 0.0016965250, 0.1307828780
